TIMESTAMP_START,TIMESTAMP_END,DTime,CO2,FC,LW_OUT,NETRAD,P,PA,RH,TA
201201010000,201201010030,1.021,-9999,-9999,329.8980101,6.6816,0,-9999,-9999,5.97
201201010030,201201010100,1.042,-9999,-9999,329.0970481,7.0912,0,-9999,-9999,5.66
201201010100,201201010130,1.062,-9999,-9999,329.0925184,6.6924,0,-9999,-9999,5.57
201201010130,201201010200,1.083,-9999,-9999,329.5300387,6.8854,0,-9999,-9999,5.72
201201010200,201201010230,1.104,461.9555,2.9692925,329.8770983,7.0709,0,97.291,-9999,5.83
201201010230,201201010300,1.125,474.0594,1.34825886,328.691908,8.1342,0,97.407,98.94427757,5.64
201201010300,201201010330,1.146,476.2904,2.68234333,328.3844754,7.9057,0,97.407,-9999,5.48
201201010330,201201010400,1.167,472.1206,-0.50371238,328.6570481,7.8135,0,97.406,97.22106365,5.55
201201010400,201201010430,1.188,478.3285,3.11922852,328.5432321,8.2926,0,97.401,96.41956881,5.6
201201010430,201201010500,1.208,470.6324,0.08878052,328.2881746,8.5331,0,97.398,98.10270798,5.67
201201010500,201201010530,1.229,472.0636,-2.13096975,328.4737824,8.4414,0,97.398,98.86412808,5.68
201201010530,201201010600,1.25,464.3312,0.45187902,328.0863156,8.8566,0,97.404,99.5453987,5.69
201201010600,201201010630,1.271,465.8142,3.75755247,328.351908,8.5246,0,97.441,98.18285747,5.7
201201010630,201201010700,1.292,463.4039,4.32662554,328.9034475,7.4515,0,97.45,97.70196056,5.81
201201010700,201201010730,1.312,450.975,1.51641079,331.012035,5.612,0,97.464,98.38323118,6.54
201201010730,201201010800,1.333,455.4781,3.11437319,330.7126974,3.8168,0,97.482,98.14278272,6.43
201201010800,201201010830,1.354,455.8119,2.48664621,330.5896264,2.9265,0,97.458,97.50158685,6.51
201201010830,201201010900,1.375,456.0458,1.19851929,332.2887101,13.3065,0,97.495,95.37762551,6.52
201201010900,201201010930,1.396,452.9992,-2.56075619,338.6425663,45.7965,0,97.507,95.69822345,6.73
201201010930,201201011000,1.417,444.7067,-3.60182707,343.5556481,64.7932,0,97.511,94.81657912,7.42
201201011000,201201011030,1.438,445.7735,-7.99721331,345.9028192,71.3414,0,97.515,92.17164613,7.89
201201011030,201201011100,1.458,448.2839,-5.58628492,346.1634498,74.2007,0,97.517,91.49037552,8.2
201201011100,201201011130,1.479,440.7452,-7.60859556,349.0131419,87.6066,0,97.503,89.84731108,8.72
201201011130,201201011200,1.5,433.2527,-8.46183311,355.5455007,123.9231,0,97.496,89.32633944,9.42
201201011200,201201011230,1.521,418.7455,-8.58895586,359.7228442,120.4839,0,97.451,90.96940387,10.1
201201011230,201201011300,1.542,401.4206,-5.8955067,359.9087421,102.515,0,97.437,90.56865644,10.33
201201011300,201201011330,1.562,399.0806,-9.34194233,365.3804705,157.6987,0,97.407,90.48850696,11.11
201201011330,201201011400,1.583,399.0637,-4.90078111,361.3018558,116.5358,0,97.4,87.64320026,11.25
201201011400,201201011430,1.604,398.1434,-3.86611165,360.1284429,106.5513,0,97.275,87.88364872,11.21
201201011430,201201011500,1.625,397.1584,-5.51383357,355.70846,65.9709,0,97.303,84.91811779,11.29
201201011500,201201011530,1.646,396.2262,-6.38693073,355.0364599,52.7036,0,97.302,84.3570714,11.29
201201011530,201201011600,1.667,396.9213,-1.56933565,347.1009497,-1.248,0,97.301,86.52110748,10.9
201201011600,201201011630,1.688,395.2948,-4.26213729,330.5794554,-35.3701,0,97.306,90.5285817,8.76
201201011630,201201011700,1.708,408.6285,4.20703341,326.8656859,-54.1447,0,97.317,94.17538324,8.07
201201011700,201201011730,1.729,389.8284,-13.36321135,321.8372148,-42.8189,0,97.333,95.13717706,6.45
201201011730,201201011800,1.75,-9999,-31.36375958,322.4273429,-26.1608,0,97.379,96.09897087,6.43
201201011800,201201011830,1.771,398.0968,-20.82696793,324.1967738,-37.1366,0,97.377,92.69261778,6.31
201201011830,201201011900,1.792,-9999,-9999,315.9946534,-48.6369,0,97.362,96.74016675,6.25
201201011900,201201011930,1.812,-9999,-9999,310.0662161,-45.2798,0,97.313,96.2191951,4.96
201201011930,201201012000,1.833,-9999,-9999,308.2726313,-42.9338,0,97.312,97.38136262,3.99
201201012000,201201012030,1.854,-9999,-9999,308.1690237,-40.4509,0,97.216,99.22480076,3.34
201201012030,201201012100,1.875,-9999,-9999,307.7460806,-41.5634,0,97.3,97.62181108,3.41
201201012100,201201012130,1.896,-9999,-9999,306.8110266,-32.45,0,97.282,95.61807396,2.7
201201012130,201201012200,1.917,-9999,-9999,306.3509412,-32.1411,0,97.268,92.65254304,2.43
201201012200,201201012230,1.938,-9999,-9999,307.7336307,-32.2478,0,97.215,94.09523376,2.75
201201012230,201201012300,1.958,-9999,-9999,309.9936688,-20.9594,0,97.182,95.13717706,2.64
